epoch,train_loss,val_loss,val_miou,val_f1,val_precision,val_recall,lr,epoch_s
1,0.2863,0.5320,0.7529,0.859033,,,6.090000e-04,9073.5
2,0.2480,0.5463,0.7385,0.849583,,,6.060000e-04,9057.2
3,0.2434,0.5229,0.7835,0.878609,,,4.740000e-04,8976.0
4,0.2400,0.5142,0.7547,0.860204,,,7.380000e-04,9186.8
5,0.2327,0.5221,0.7752,0.873366,,,2.120000e-04,8499.3
6,0.2417,0.5010,0.7782,0.875267,,,7.240000e-04,8598.8
7,0.2409,0.4937,0.7757,0.873683,,,8.660000e-04,8699.6
8,0.235234,0.483605,0.813481,0.897149,0.648268,0.889544,6.194189e-04,8750.94
9,0.231443,0.513377,0.787361,0.881032,0.540575,0.910737,3.314610e-04,9023.8
10,0.226744,0.510529,0.783900,0.878861,0.546178,0.902773,1.012337e-04,8768.51
11,0.229500,0.505700,0.763800,0.866085,,,4.490000e-04,8782.5
